,日期,星期,最高温度,最低温度,天气,风向
0,2011/1/1,星期四,4℃,0℃,阴~阵雨,北风 微风
1,2011/1/2,星期五,5℃,1℃,阴~阵雨,北风~旋转风 微风
2,2011/1/3,星期六,6℃,1℃,阵雨,旋转风 微风
3,2011/1/4,星期日,6℃,1℃,阵雨,旋转风~北风 微风
4,2011/1/5,星期一,3℃,1℃,阵雨,北风~旋转风 微风
5,2011/1/6,星期二,4℃,1℃,多云,旋转风 微风
6,2011/1/7,星期三,5℃,1℃,阴~多云,东北风~旋转风 微风
7,2011/1/8,星期四,7℃,2℃,阴,旋转风 微风
8,2011/1/9,星期五,4℃,1℃,阴~多云,北风 微风
9,2011/1/10,星期六,6℃,0℃,多云,旋转风 微风
10,2011/1/11,星期日,5℃,0℃,多云,旋转风 微风
11,2011/1/12,星期一,7℃,0℃,多云,旋转风 微风
12,2011/1/13,星期二,6℃,0℃,多云,旋转风 微风
13,2011/1/14,星期三,6℃,2℃,多云,旋转风 微风
14,2011/1/15,星期四,6℃,3℃,小雨,旋转风 微风
15,2011/1/16,星期五,5℃,1℃,小雨,北风 微风
16,2011/1/26,星期六,5℃,2℃,小雨~雨夹雪,北风 微风
17,2011/1/29,星期日,7℃,2℃,阴,旋转风 微风
18,2011/1/30,星期一,7℃,2℃,多云,旋转风 微风
19,2011/1/31,星期二,7℃,2℃,小雨~阴,旋转风 微风
20,2011/2/1,星期三,7℃,2℃,阴,旋转风 微风
21,2011/2/2,星期四,7℃,2℃,多云,旋转风 微风
22,2011/2/3,星期五,9℃,1℃,多云,旋转风 微风
23,2011/2/4,星期六,13℃,4℃,晴,旋转风 微风
24,2011/2/5,星期日,14℃,2℃,多云,旋转风 微风
25,2011/2/6,星期一,13℃,2℃,多云,旋转风 微风
26,2011/2/7,星期二,12℃,2℃,阴,旋转风 微风
27,2011/2/8,星期三,14℃,3℃,阴,旋转风 微风
28,2011/2/9,星期四,12℃,8℃,阵雨~阴,东北风 微风
29,2011/2/10,星期五,12℃,6℃,多云~阴,东北风 微风
30,2011/2/11,星期六,11℃,6℃,阵雨~小雨,东北风 微风
31,2011/2/12,星期日,7℃,5℃,小雨~阴,东北风 3-4级~微风
32,2011/2/13,星期一,13℃,5℃,多云,旋转风 微风
33,2011/2/14,星期二,12℃,6℃,阴,旋转风 微风
34,2011/2/15,星期三,9℃,5℃,阴,东北风 微风
35,2011/2/16,星期四,9℃,4℃,多云~阴,东北风 微风
36,2011/2/17,星期五,12℃,5℃,多云~小雨,旋转风 微风
37,2011/2/18,星期六,9℃,5℃,小雨~阴,北风 微风
38,2011/2/19,星期日,10℃,6℃,阴,北风 微风
39,2011/2/20,星期一,10℃,6℃,阴,北风 微风
40,2011/2/21,星期二,11℃,6℃,阴~阵雨,北风 微风
41,2011/2/22,星期三,13℃,7℃,阵雨~阴,旋转风 微风
42,2011/2/23,星期四,18℃,6℃,多云,旋转风 微风
43,2011/2/24,星期五,16℃,8℃,多云~阴,北风 微风
44,2011/2/25,星期六,16℃,9℃,阴,北风 微风
45,2011/2/26,星期日,14℃,9℃,阴,东北风 微风
46,2011/2/27,星期一,16℃,9℃,阴,东北风 微风
47,2011/2/28,星期二,14℃,8℃,阴~小雨,西北风 微风
48,2011/3/1,星期三,16℃,8℃,多云~阴,旋转风 微风
49,2011/3/2,星期四,14℃,9℃,阴~阵雨,旋转风 微风
50,2011/3/3,星期五,15℃,8℃,多云~阴,东北风 微风
51,2011/3/4,星期六,13℃,7℃,多云~阵雨,旋转风 微风
52,2011/3/5,星期日,14℃,8℃,阴~多云,旋转风 微风
53,2011/3/6,星期一,16℃,8℃,多云,旋转风 微风
54,2011/3/7,星期二,17℃,9℃,多云~阴,东北风 微风
55,2011/3/8,星期三,17℃,9℃,多云~阵雨,旋转风~北风 微风
56,2011/3/9,星期四,14℃,7℃,阴~阵雨,东北风 微风
57,2011/3/10,星期五,14℃,8℃,小雨~阵雨,东北风 微风
58,2011/3/11,星期六,15℃,8℃,阴~多云,东北风~旋转风 微风
59,2011/3/12,星期日,17℃,7℃,多云~小雨,旋转风 微风
60,2011/3/13,星期一,17℃,8℃,多云~阴,旋转风~东北风 微风
61,2011/3/14,星期二,10℃,7℃,小雨,东北风 4-5级~3-4级
62,2011/3/15,星期三,14℃,3℃,多云,旋转风 微风
63,2011/3/16,星期四,16℃,5℃,晴~多云,旋转风 微风
64,2011/3/17,星期五,14℃,5℃,阴~阵雨,东北风 微风
65,2011/3/18,星期六,16℃,8℃,多云~阴,旋转风 微风
66,2011/3/19,星期日,14℃,9℃,阴,北风 微风
67,2011/3/20,星期一,12℃,8℃,阴,东北风 微风~4-5级
68,2011/3/21,星期二,9℃,6℃,阵雨,东北风 微风
69,2011/3/22,星期三,12℃,5℃,多云~阵雨,旋转风 微风
70,2011/3/23,星期四,10℃,5℃,阴,北风 微风
71,2011/3/24,星期五,11℃,5℃,阴,东北风 微风
72,2011/3/25,星期六,12℃,6℃,阴,旋转风 微风
73,2011/3/26,星期日,14℃,6℃,多云,旋转风 微风
74,2011/3/27,星期一,16℃,5℃,晴~多云,旋转风~北风 微风
75,2011/3/28,星期二,16℃,5℃,晴~阴,旋转风 微风
76,2011/3/29,星期三,17℃,7℃,多云~阴,旋转风 微风
77,2011/3/30,星期四,18℃,11℃,阴,旋转风 微风
78,2011/3/31,星期五,17℃,10℃,阴,南风 微风
79,2011/4/1,星期六,15℃,12℃,阵雨~小雨,旋转风 微风
80,2011/4/2,星期日,14℃,12℃,小雨,北风 微风
81,2011/4/3,星期一,16℃,12℃,阴,东北风 微风
82,2011/4/4,星期二,17℃,11℃,阴,东北风 微风
83,2011/4/5,星期三,16℃,8℃,阵雨~阴,东北风 微风
84,2011/4/6,星期四,16℃,11℃,多云~阴,北风 微风
85,2011/4/7,星期五,15℃,11℃,阵雨~阴,东北风 4-5级~微风
86,2011/4/8,星期六,16℃,10℃,阴,旋转风 微风
87,2011/4/9,星期日,18℃,11℃,晴~多云,旋转风 微风
88,2011/4/10,星期一,20℃,11℃,多云,旋转风 微风
89,2011/4/11,星期二,22℃,12℃,多云~小雨,北风 微风
90,2011/4/12,星期三,22℃,12℃,多云,旋转风 微风
91,2011/4/13,星期四,24℃,13℃,多云~阴,旋转风~北风 微风
92,2011/4/14,星期五,23℃,13℃,阴~阵雨,旋转风 微风
93,2011/4/15,星期六,23℃,15℃,小雨~阵雨,旋转风 微风
94,2011/4/16,星期日,24℃,14℃,阴,旋转风 微风
95,2011/4/17,星期一,27℃,14℃,晴~多云,旋转风 微风
96,2011/4/18,星期二,26℃,16℃,阴~阵雨,旋转风 微风
97,2011/4/19,星期三,23℃,14℃,阴~阵雨,旋转风 微风
98,2011/4/20,星期四,22℃,16℃,阵雨~小雨,北风 微风
99,2011/4/21,星期五,25℃,15℃,阴~多云,旋转风 微风
100,2011/4/22,星期六,27℃,17℃,多云,旋转风 微风
101,2011/4/23,星期日,28℃,16℃,阴~多云,旋转风 微风
102,2011/4/24,星期一,29℃,17℃,多云,旋转风 微风
103,2011/4/25,星期二,29℃,16℃,多云,旋转风 微风
104,2011/4/26,星期三,31℃,17℃,晴,旋转风 微风
